n,words,start,end,time
10,1170301,1605100497,1605100516,7
20,2340601,1603311041,1603311049,8
30,3510901,1603311049,1603311059,10
40,4681201,1603311060,1603311072,12
50,5851501,1603311072,1603311088,16
60,7021801,1603311088,1603311106,18
70,8192101,1603311107,1603311128,21
80,9362401,1603311128,1603311153,25
90,10532701,1603311154,1603311180,26
100,11703001,1603310415,1603310444,29
200,23406001,1603310446,1603310499,53
300,35109001,1603310502,1603310589,87
400,46812001,1603310594,1603310706,112
500,58515001,1603310712,1603310853,141
1000,117030001,1603311345,1603311614,269
2000,234060001,1603311636,1603312198,562
3000,351090001,1603312231,1603313057,826
4000,468120001,1603313105,1603314266,1161
5000,585150001,1603314327,1603315711,1384
10000,1170300001,1603318367,1603321657,3290
